idSolicitudes;FechaEntradaOCM;idSolicitantes;idEstados;idInstituciones;idDocumentos;idDistrito;idDelegacion;Distritos_idDistritos;AprobadaOCM;FechaAprobacionOCM;FechaPresentacion;FechaInicioExpediente;TextoCabecera;Descripción;SolicitudPrevia;Observaciones;Instituciones_idInstituciones;Solicitantes_idSolicitantes;Estados_idEstados;FechaContestacion;Imagen;SeguimientoSolicitante;idPrograma;idEconomico;GradoRespuesta;Delegaciones_idDelegaciones;Estados_idEstados1;createdAt;updatedAt;idUserCreate;idUserUpdate
1;;0;0;0;0;0;0;1;;;;;Primera solicitud;Información pagos al Consorcio de Bomberos Provincia de Cádiz;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
2;;0;0;0;0;0;0;1;;;;;Segunda solicitud;Datos deuda;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
3;;0;0;0;0;0;0;1;;;;;Primera solicitud;Estudios y trabajos técnicos candidatura de Jerez a la convocatoria de ayudas de Red.es;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
4;;0;0;0;0;0;0;1;;;;;Segunda solicitud;Convenios firmados por el Ayuntamiento;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
5;;0;0;0;0;0;0;1;;;;;Primera solicitud;Estado licitación contrato renting 9 autobuses;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
6;;0;0;0;0;0;0;1;;;;;Segunda solicitud;Convenios uso instalaciones deportivas;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
7;;0;0;0;0;0;0;1;;;;;Primera solicitud;Subvención instalación en zonas oeste y sur;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
8;;0;0;0;0;0;0;1;;;;;Segunda solicitud;Escritos ministerio de Hacienda;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
9;;0;0;0;0;0;0;1;;;;;;Información sobre presupuestos 2.018;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
10;;0;0;0;0;0;0;1;;;;;;Pliegos contratos de limpieza y recogida de basuras;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
11;;0;0;0;0;0;0;1;;;;;;Costes Vinoble 2.018;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
12;;0;0;0;0;0;0;1;;;;;;Cuentas anuales EMUVIJESA;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
13;;0;0;0;0;0;0;1;;;;;;Cuentas anuales Fundación Andres Ribera;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
14;;0;0;0;0;0;0;1;;;;;;Cuentas anuales, desde el 2012 al 2017, de la Fundación Caballero Bonald.;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
15;;0;0;0;0;0;0;1;;;;;;Renting autobuses COMUJESA;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
16;;0;0;0;0;0;0;1;;;;;;Acta del 31 diciembre del 2.004. Número de bomberos en Jerez.;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
17;;0;0;0;0;0;0;1;;;;;;Prologa contrato AJEMSA;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
18;;0;0;0;0;0;0;1;;;;;;Informacion Fundacion Teatro Villamarta;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
19;;0;0;0;0;0;0;1;;;;;;Informe emitido por el Director de Servicio de Recursos Humanos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
